dbn,num_of_sat_test_takers,sat_critical_reading_avg_score,sat_math_avg_score,sat_writing_avg_score,pct_students_tested
13K412,37.0,375.0,355.0,384.0,0.78
13K419,92.0,399.0,417.0,395.0,0.92
13K430,1277.0,587.0,659.0,587.0,
13K439,90.0,305.0,364.0,312.0,
13K483,105.0,400.0,417.0,389.0,0.92
13K499,72.0,384.0,364.0,368.0,0.92
13K509,29.0,400.0,390.0,403.0,
13K527,,,,,0.78
13K553,8.0,435.0,383.0,379.0,
13K575,13.0,398.0,391.0,394.0,0.92
13K595,89.0,438.0,443.0,431.0,0.85
13K605,85.0,406.0,391.0,392.0,
13K616,,,,,0.85
13K670,185.0,471.0,472.0,448.0,
13K674,20.0,441.0,499.0,413.0,
14K071,102.0,365.0,361.0,359.0,0.78
14K322,,,,,0.85
14K404,68.0,387.0,357.0,381.0,0.78
14K449,72.0,586.0,584.0,570.0,0.78
14K454,41.0,407.0,386.0,396.0,
14K474,144.0,364.0,379.0,371.0,0.78
14K477,134.0,413.0,396.0,395.0,0.78
14K478,142.0,398.0,421.0,396.0,0.78
14K488,42.0,367.0,373.0,350.0,0.78
14K558,72.0,363.0,385.0,364.0,
14K561,113.0,397.0,410.0,380.0,0.85
14K586,31.0,371.0,377.0,355.0,0.92
14K610,94.0,367.0,376.0,350.0,0.85
14K632,12.0,382.0,372.0,368.0,0.78
14K685,28.0,359.0,335.0,341.0,0.92
14K923,,,,,0.85
15K429,52.0,361.0,367.0,383.0,0.92
15K448,76.0,393.0,399.0,387.0,
15K462,59.0,398.0,411.0,394.0,
15K463,58.0,397.0,391.0,381.0,
15K464,72.0,379.0,416.0,380.0,0.85
15K497,64.0,405.0,415.0,392.0,0.85
15K519,77.0,398.0,402.0,385.0,
15K520,9.0,352.0,341.0,300.0,0.92
15K529,,,,,
15K530,28.0,368.0,365.0,368.0,0.85
15K656,141.0,426.0,,411.0,
15K667,,,,,
15K698,8.0,430.0,416.0,425.0,0.92
16K393,20.0,355.0,355.0,358.0,
16K455,131.0,365.0,370.0,362.0,0.78
16K498,46.0,362.0,372.0,358.0,0.78
16K594,36.0,370.0,372.0,351.0,
16K688,,,,,0.85
17K382,59.0,396.0,374.0,369.0,0.92
17K408,57.0,352.0,342.0,351.0,0.85
17K467,,,,,
17K489,7.0,394.0,364.0,334.0,0.85
17K524,71.0,287.0,335.0,291.0,0.85
17K528,46.0,403.0,385.0,388.0,
17K531,35.0,348.0,381.0,359.0,0.85
